grab   v.抢夺,攫取,夺取
grace   n.优美,雅致,优雅
graceful   adj.优美的
gradual   adj.逐渐的,逐步的,渐进的
graduate   n.(大学)毕业生,研究生;v.(使)(大学)毕业
grain   n.谷物,谷类,谷粒,细粒,颗粒,粮食
gram   n.克,[植]鹰嘴豆(用作饲料)
grammar   n.文法,有关原理的书,入门的书
gramme   n.克
grand   adj.盛大的,豪华的,重大的,主要的,极重要的
grant   vt.同意,准予,承认(某事为真)～
grape   n.葡萄,葡萄树
graph   n.图表,曲线图
grasp   vt.抓住,抓紧,掌握,领会;n.抓住,抓紧,掌握,领会
grateful   adj.感激的,感谢的
gratitude   n.感谢的心情
grave   n.墓穴,坟墓;adj.严重的,(颜色)黯淡的,(声音)低沉的;v.雕刻,铭记
gravity   n.地心引力,重力
greedy   adj.贪吃的,贪婪的,渴望的
greenhouse   n.温室,花房
grim   adj.严酷的
grind   v.磨(碎),碾(碎),折磨
grip   vt.紧握,紧夹;n.掌握,控制,把手;v.抓住
grocer   n.食品商,杂货店
gross   adj.总的,毛重的;n.总额
growth   n.生长,种植,栽培,发育,等比级数
guarantee   n.保证,保证书,担保,抵押品;vt.保证,担保
guidance   n.指导,领导
guideline   n.方针
guilty   adj.犯罪的,有罪的,心虚的
guitar   n.吉他,六弦琴;vi.弹吉他
gulf   n.海湾,深渊,漩涡,隔阂;vt.吞没,使深深卷入
gum   n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖
guy   n.家伙,人
gym   gymnasium体育;n.体育馆,体操
gymnasium   n.健身房,体育馆
halt   n.停止,暂停,中断;vt.使停止,使立定;vi.立定,停止,踌躇,有缺点
hammer   n.铁锤,槌,锤子;v.锤击,锤打
handbag   n.手提包
handful   n.一把,少数
handle   n.柄,把手,把柄,口实,手感;vt.触摸,运用,买卖,处理,操作;vi.搬运,易于操纵;n.[计]句柄
handwriting   n.笔迹,书写体,书法,笔势
handy   adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的
happen   vi.发生,碰巧,偶然;v.发生,恰巧,偶然发现
harbour   n.(=harbor)海港
harden   vt.使变硬,使坚强,使冷酷;vi.变硬,变冷酷,涨价
hardship   n.困苦,艰难,辛苦
hardware   n.五金器具,(电脑的)硬件,(电子仪器的)部件
harm   vt.伤害,损害;n.伤害,损害
harmony   n.协调,融洽
harness   n.(全套)马具,系在身上的绳子,甲胄;vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)
harsh   adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的
haste   n.匆忙,急忙
hatred   n.憎恨,乱意,仇恨
hay   n.干草
hazard   n.冒险,危险,冒险的事;vt.冒...的危险,赌运气,使遭危险
heading   n.标题
headline   n.大字标题
headquarters   n.司令部,指挥部,总部
heal   v.治愈,医治,结束
heap   n.堆,大量,许多;vt.堆,堆起;v.堆积
hearing   n.听力,听觉,听取意见,听讼;v.倾听
heave   v.举起;n.举起
hedge   n.树篱,障碍物;v.用树篱围住,避免作正面答复
heel   n.脚后跟,踵,跟部
heighten   v.提高,升高
heir   n.继承人,后嗣
helicopter   n.直升(飞)机,直升机
hell   n.地狱,苦境,阴间,地狱中的人,训斥;vi.狂饮,飞驰;int.该死!
helpful   adj.有帮助的,有用的,有益的
helpless   adj.无助的,无能的,没用的
hen   n.母鸡,雌鸟
hence   adv.因此,从此
herd   n.兽群,牧群;v.把...赶在一起放牧,成群
heritage   n.遗产,继承权,传统
heroic   adj.英雄的,英勇的
hesitate   v.犹豫,踌躇,不愿
highlight   n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出
highly   adv.高地,非常
highway   n.公路,大路
hint   n.暗示,提示,线索
hip   n.臀,蔷薇果,忧郁;adj.熟悉内情的;vt.使忧郁,给（屋顶）造屋脊;int.喝彩声
hire   n.租金,工钱,租用,雇用;vt.雇请,出租;vi.受雇
historic   adj.历史上著名的,有历史性的
historical   adj.历史(上)的,有关历史的
hobby   n.业余爱好
hollow   n.洞,窟窿,山谷;adj.空的,虚伪的,空腹的,凹的;adv.<口>彻底vi.形成空洞;vt.挖空,弄凹
holy   adj.神圣的,圣洁的;n.神圣的东西
honey   n.(蜂)蜜,蜂蜜
honourable   adj.可敬的,荣誉的,光荣的
hook   n.钩,吊钩;v.钩住,沉迷,上瘾
hopeful   adj.怀有希望的,有希望的
hopeless   adj.没有希望的,绝望的,不可救药
horizon   n.地平线;n.地平(线),(知识,思想等的)范围,视野
horizontal   adj.地平线的,水平的
horn   n.(牛、羊等的)角,喇叭,触角;v.装角
horrible   adj.可怕的,恐怖的,讨厌的
horror   n.惊骇,恐怖,惨事,极端厌恶
horsepower   n.马力
hostile   adj.敌对的,敌方的;n.敌对
